run_num,samp_num,object,trt_code,trtmt,p_source,location,ph,carbonate,toc,fe_edta,fe_dgt,zn_edta,mn_edta,mn_dgt,cu_edta,cu_dgt,co,ni,b,k_cal,p_cal,p_dgt,yield
1,5/1099,1,A,0P,no_p,Fuchsenbigl,7.5,13.4,1.6,62.6,1341.9,2.1,103.8,368.4,4.5,11.3,6.1,19.3,2.2,232.0,60.0,44.9,4.9
2,5/1100,1,B,0P,no_p,Fuchsenbigl,7.5,11.3,1.6,69.0,341.3,1.9,142.6,204.8,4.9,9.9,6.7,21.1,2.3,197.0,97.0,55.4,5.8
3,5/1101,1,C,0P,no_p,Fuchsenbigl,7.5,15.5,1.8,43.1,492.7,1.2,60.0,368.9,3.8,8.7,6.5,20.6,2.3,225.0,30.0,27.6,5.3
4,5/1102,1,D,0P,no_p,Fuchsenbigl,7.5,14.4,1.6,43.6,1275.8,1.3,66.8,289.9,3.9,9.2,6.5,20.4,2.4,161.0,107.0,110.6,6.0
5,5/1103,1,E,0P,no_p,Fuchsenbigl,7.6,12.4,1.7,60.1,980.4,1.5,115.9,293.1,4.7,8.4,6.9,21.7,2.3,280.0,36.0,35.4,4.9
6,5/1104,3,A,400P,SSP,Fuchsenbigl,7.5,14.6,1.7,53.2,435.4,2.3,71.6,325.7,4.1,8.1,6.4,20.0,2.3,154.0,211.0,189.0,6.4
7,5/1105,3,B,400P,SSP,Fuchsenbigl,7.5,12.6,1.6,58.9,2701.0,2.2,94.5,391.3,4.3,11.8,6.4,20.0,2.3,147.0,260.0,267.4,6.4
8,5/1106,3,C,400P,SSP,Fuchsenbigl,7.5,12.4,1.7,56.9,551.5,2.5,94.2,223.7,4.7,9.5,6.8,21.5,2.4,142.0,276.0,235.4,5.8
9,5/1107,3,D,400P,SSP,Fuchsenbigl,7.5,12.4,1.7,61.5,503.9,2.4,97.8,347.8,4.6,7.6,6.3,20.2,2.2,215.0,206.0,176.3,6.0
10,5/1108,3,E,400P,SSP,Fuchsenbigl,7.5,14.4,1.7,53.3,1111.6,1.9,73.5,388.1,4.2,8.1,6.7,20.9,2.3,103.0,253.0,191.1,5.6
16,5/1114,15,A,100P,SSP,Fuchsenbigl,7.5,10.5,1.5,78.1,529.5,2.7,158.9,364.2,5.4,8.9,6.4,20.2,2.2,162.0,139.0,124.2,6.1
17,5/1115,15,B,100P,SSP,Fuchsenbigl,7.5,12.4,1.5,67.3,474.4,2.2,135.8,375.5,5.0,9.0,6.3,19.9,2.2,157.0,139.0,148.0,5.7
18,5/1116,15,C,100P,SSP,Fuchsenbigl,7.6,12.4,1.7,51.4,220.8,2.3,95.6,271.9,4.9,6.3,6.6,20.7,2.5,157.0,125.0,95.5,5.9
19,5/1117,15,D,100P,SSP,Fuchsenbigl,7.6,13.8,1.8,48.0,170.7,1.5,81.6,230.9,4.5,6.1,6.9,21.6,2.3,196.0,45.0,38.8,6.0
20,5/1118,15,E,100P,SSP,Fuchsenbigl,7.5,13.4,1.7,54.2,243.4,1.9,87.1,266.5,4.3,7.5,6.7,21.0,2.3,107.0,142.0,115.2,6.0
26,5/919,1,A,0P,no_p,Rottenhaus,6.8,0,1.7,340.1,327.5,2.8,401.0,3230.3,4.5,6.9,8.4,28.7,0.9,117.0,10.0,23.0,6.0
27,5/920,1,B,0P,no_p,Rottenhaus,6.6,0,2,368.2,465.0,2.7,485.7,2223.3,5.2,10.3,10.5,42.7,1.1,146.0,13.0,34.1,7.2
28,5/921,1,C,0P,no_p,Rottenhaus,6.6,0,1.9,355.3,140.8,2.7,446.3,938.1,5.1,6.7,9.7,38.5,1.0,122.0,9.0,36.6,6.7
29,5/922,1,D,0P,no_p,Rottenhaus,6.2,0,2,404.5,286.0,2.7,421.9,1163.4,5.0,6.6,10.6,44.2,0.8,147.0,18.0,49.8,7.6
30,5/923,1,E,0P,no_p,Rottenhaus,6.7,0,2,354.1,777.7,3.1,429.9,1138.1,5.2,5.4,9.9,38.8,1.0,137.0,12.0,31.4,7.3
31,5/924,9,A,400P,SSP,Rottenhaus,6.2,0,2.1,726.5,239.2,3.5,487.4,1331.1,5.3,7.6,10.4,42.7,1.1,123.0,118.0,311.5,6.1
32,5/925,9,B,400P,SSP,Rottenhaus,6.2,0,1.9,769.4,467.0,3.6,415.2,1881.5,4.7,9.2,8.5,31.8,0.9,139.0,142.0,442.6,5.8
33,5/926,9,C,400P,SSP,Rottenhaus,6,0,2,683.5,676.1,3.3,426.2,1734.5,5.2,9.5,10.5,43.6,0.8,135.0,115.0,324.4,7.2
34,5/927,9,D,400P,SSP,Rottenhaus,6.7,0,1.7,518.6,200.5,3.3,474.9,1132.4,4.4,5.4,9.7,37.7,1.2,110.0,102.0,263.6,6.5
35,5/928,9,E,400P,SSP,Rottenhaus,7,0.8,1.8,574.7,507.9,3.8,492.5,715.8,4.7,7.6,9.3,35.7,1.4,126.0,143.0,343.4,6.5
41,5/934,15,A,100P,SSP,Rottenhaus,6.1,0,2,473.8,475.2,3.0,451.0,1805.6,4.8,7.9,10.2,41.8,0.9,129.0,33.0,85.2,7.0
42,5/935,15,B,100P,SSP,Rottenhaus,6.1,0,2,493.1,169.2,2.8,480.2,1687.3,4.9,8.0,10.6,44.0,1.0,142.0,38.0,81.0,6.8
43,5/936,15,C,100P,SSP,Rottenhaus,6.1,0,2.1,444.7,197.9,2.9,475.5,1351.5,4.9,6.1,10.5,43.3,1.0,158.0,30.0,73.6,7.0
44,5/937,15,D,100P,SSP,Rottenhaus,6.3,0,2,371.4,430.6,2.8,413.5,1786.1,4.8,7.7,9.7,38.0,0.9,143.0,20.0,46.2,7.1
45,5/938,15,E,100P,SSP,Rottenhaus,6.3,0,2.1,491.8,259.0,3.0,424.5,1229.3,4.9,5.5,10.5,44.2,0.9,122.0,42.0,43.0,6.8
104,5/203,5,A,0P,no incorp,Rutzendorf,7.7,,2.1,,147.4,,,59.2,,5.5,,,,276.0,97.0,73.3,3.5
105,5/204,5,B,0P,no incorp,Rutzendorf,7.7,,2.2,,272.7,,,45.7,,6.0,,,,249.0,65.0,33.7,3.0
106,5/205,5,C,0P,no incorp,Rutzendorf,7.7,,2,,150.6,,,69.4,,5.6,,,,231.0,44.0,22.7,4.1
107,5/206,5,D,0P,no incorp,Rutzendorf,7.6,,2.2,,153.0,,,37.9,,5.0,,,,235.0,47.0,25.5,2.7
108,5/207,6,A,75P,no incorp,Rutzendorf,7.6,,2.3,,168.4,,,32.7,,5.2,,,,287.0,132.0,143.3,3.8
109,5/208,6,B,75P,no incorp,Rutzendorf,7.6,,2.1,,202.0,,,51.6,,5.7,,,,251.0,112.0,115.3,4.2
110,5/209,6,C,75P,no incorp,Rutzendorf,7.6,,2,,600.5,,,70.0,,7.7,,,,222.0,89.0,72.5,4.2
111,5/210,6,D,75P,no incorp,Rutzendorf,7.6,,2.2,,404.9,,,61.5,,6.3,,,,251.0,94.0,89.4,3.3
112,5/211,7,A,150P,no incorp,Rutzendorf,7.6,,2.1,,143.3,,,49.5,,5.9,,,,254.0,188.0,498.2,4.1
113,5/212,7,B,150P,no incorp,Rutzendorf,7.6,,2.1,,148.0,,,32.6,,10.1,,,,256.0,192.0,428.9,4.3
114,5/213,7,C,150P,no incorp,Rutzendorf,7.6,,2.1,,268.3,,,54.5,,7.3,,,,225.0,154.0,463.7,4.4
115,5/214,7,D,150P,no incorp,Rutzendorf,7.6,,2.1,,143.0,,,50.0,,7.3,,,,234.0,153.0,192.1,3.6
116,5/215,8,A,300P,no incorp,Rutzendorf,7.5,,2.3,,167.4,,,44.5,,6.2,,,,309.0,351.0,651.1,4.4
117,5/216,8,B,300P,no incorp,Rutzendorf,7.5,,2.2,,238.6,,,43.4,,6.1,,,,255.0,306.0,620.1,5.0
118,5/217,8,C,300P,no incorp,Rutzendorf,7.6,,2.1,,450.0,,,52.4,,7.1,,,,239.0,286.0,553.8,4.8
119,5/218,8,D,300P,no incorp,Rutzendorf,7.5,,2.2,,153.9,,,24.9,,6.7,,,,207.0,295.0,533.4,4.2
136,5/235,5,A,0P,no incorp,Rottenhaus,5.5,,0.8,,,,,,,,,,,91.0,24.0,27.9,5.1
137,5/236,5,B,0P,no incorp,Rottenhaus,5.4,,0.9,,132.5,,,818.5,,11.0,,,,97.0,26.0,39.0,5.2
138,5/237,5,C,0P,no incorp,Rottenhaus,5.3,,0.8,,128.3,,,874.0,,8.4,,,,100.0,25.0,29.4,4.9
139,5/238,5,D,0P,no incorp,Rottenhaus,5.1,,0.8,,203.5,,,970.3,,11.5,,,,106.0,26.0,30.4,5.7
140,5/239,6,A,75P,no incorp,Rottenhaus,5.7,,0.9,,141.2,,,870.9,,11.2,,,,82.0,42.0,82.9,5.4
141,5/240,6,B,75P,no incorp,Rottenhaus,5.4,,0.9,,95.2,,,885.0,,11.4,,,,94.0,73.0,173.9,5.9
142,5/241,6,C,75P,no incorp,Rottenhaus,5.2,,0.9,,116.9,,,932.1,,10.7,,,,84.0,56.0,109.0,6.4
143,5/242,6,D,75P,no incorp,Rottenhaus,5.2,,0.8,,114.5,,,844.4,,12.0,,,,105.0,58.0,120.1,5.8
144,5/243,7,A,150P,no incorp,Rottenhaus,5.6,,0.8,,138.7,,,810.8,,13.3,,,,87.0,94.0,425.1,7.1
145,5/244,7,B,150P,no incorp,Rottenhaus,5.4,,0.8,,126.0,,,802.4,,10.7,,,,78.0,88.0,200.3,6.2
146,5/245,7,C,150P,no incorp,Rottenhaus,5.3,,0.9,,73.4,,,954.3,,13.2,,,,91.0,90.0,410.6,6.6
147,5/246,7,D,150P,no incorp,Rottenhaus,5.6,,0.9,,238.5,,,1689.6,,10.6,,,,124.0,110.0,210.6,5.7
148,5/247,8,A,300P,no incorp,Rottenhaus,5.6,,0.8,,116.7,,,825.0,,12.8,,,,85.0,162.0,650.1,6.6
149,5/248,8,B,300P,no incorp,Rottenhaus,5.6,,0.9,,150.7,,,920.6,,14.3,,,,81.0,168.0,569.6,6.8
150,5/249,8,C,300P,no incorp,Rottenhaus,5.4,,0.8,,181.9,,,761.7,,15.2,,,,80.0,157.0,730.6,6.7
151,5/250,8,D,300P,no incorp,Rottenhaus,5.5,,0.9,,249.9,,,924.5,,15.0,,,,101.0,163.0,659.7,6.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
